path,loc,top_level_classes,top_level_funcs,imports_from_lattice,imported_by_count,phase_target,final_path,disposition
src/lattice/providers/tool_sanitizer.py,285,4,4,,4,-,providers/tool_sanitizer.py,KEEP
src/lattice/providers/transport.py,1539,4,2,lattice.core.credentials|lattice.core.errors|lattice.core.runtime_state|lattice.core.serialization|lattice.core.telemetry|lattice.core.transport|lattice.gateway.compat|lattice.providers.anthropic|lattice.providers.azure|lattice.providers.base|lattice.providers.bedrock|lattice.providers.gemini|lattice.providers.ollama|lattice.providers.openai|lattice.providers.openai_compatible|lattice.providers.stall_detector|lattice.transport.congestion,23,5c,providers/transport/ (7-file pkg),SPLIT
src/lattice/proxy/__init__.py,21,0,0,lattice.providers.transport|lattice.proxy.server,0,-,proxy/__init__.py,KEEP
src/lattice/proxy/bootstrap.py,300,1,3,lattice.core.agent_stats|lattice.core.auto_continuation|lattice.core.config|lattice.core.cost_estimator|lattice.core.credentials|lattice.core.metrics|lattice.core.pipeline|lattice.core.pipeline_factory|lattice.core.runtime_state|lattice.core.semantic_cache|lattice.core.serialization|lattice.core.session|lattice.core.store|lattice.core.telemetry|lattice.core.transport|lattice.gateway.compat|lattice.gateway.server|lattice.protocol.framing|lattice.protocol.resume|lattice.providers.transport|lattice.transforms.batching|lattice.transforms.speculative,3,-,proxy/bootstrap.py,KEEP
src/lattice/proxy/health.py,112,1,0,lattice._version|lattice.core.config|lattice.core.metrics,1,-,proxy/health.py,KEEP
src/lattice/proxy/lifecycle.py,359,4,1,,3,-,proxy/lifecycle.py,KEEP
src/lattice/proxy/routes.py,328,1,2,lattice.gateway.compat|lattice.gateway.server,1,-,proxy/routes.py,KEEP
src/lattice/proxy/server.py,338,0,2,lattice._version|lattice.core.config|lattice.core.errors|lattice.core.maintenance|lattice.core.transport|lattice.gateway|lattice.gateway.compat|lattice.protocol.cache_planner|lattice.proxy.bootstrap|lattice.proxy.routes,13,-,proxy/server.py,KEEP
src/lattice/runtime/__init__.py,9,0,0,lattice.runtime.router,0,-,runtime/__init__.py,KEEP
src/lattice/runtime/router.py,358,3,0,lattice.core.transport,4,3,runtime/tier_classifier.py,RENAME
src/lattice/sdk/__init__.py,19,0,0,lattice.client|lattice.sdk.proxy_client|lattice.sdk.wrappers,0,-,sdk/__init__.py,KEEP
src/lattice/sdk/client.py,15,0,0,lattice.client|lattice.sdk,1,6,sdk/client.py (deprecation shim),MODIFY
src/lattice/sdk/proxy_client.py,373,3,0,lattice.protocol.dictionary_codec|lattice.protocol.framing,1,-,sdk/proxy_client.py,KEEP
src/lattice/sdk/wrappers.py,150,0,2,lattice.client|lattice.core.config|lattice.core.serialization,1,-,sdk/wrappers.py,KEEP
src/lattice/state/__init__.py,15,0,0,lattice.state.segment_store,0,-,state/__init__.py,KEEP
src/lattice/state/segment_store.py,334,4,0,lattice.protocol.segments,2,-,state/segment_store.py,KEEP
src/lattice/transforms/__init__.py,57,0,0,lattice.transforms.batching|lattice.transforms.cache_arbitrage|lattice.transforms.causal_chain|lattice.transforms.columnar_pack|lattice.transforms.constraint_lifting|lattice.transforms.content_profiler|lattice.transforms.context_selector|lattice.transforms.delta_encode|lattice.transforms.diagnostic_rle|lattice.transforms.extractive_compress|lattice.transforms.format_conv|lattice.transforms.json_shape|lattice.transforms.message_dedup|lattice.transforms.output_cleanup|lattice.transforms.path_prefix|lattice.transforms.prefix_opt|lattice.transforms.rate_distortion|lattice.transforms.reference_sub|lattice.transforms.runtime_contract|lattice.transforms.speculative|lattice.transforms.strategy_selector|lattice.transforms.tool_filter|lattice.transforms.tool_projection,0,-,transforms/__init__.py,KEEP
src/lattice/transforms/batching.py,476,6,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.transport,6,-,transforms/batching.py,KEEP
src/lattice/transforms/cache_arbitrage.py,545,2,0,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.protocol.cache_planner|lattice.protocol.content|lattice.protocol.manifest|lattice.protocol.segments|lattice.providers.capabilities,5,-,transforms/cache_arbitrage.py,KEEP
